jumlah_siswa;jumlah_guru;rasio_guru_siswa;persentase_guru_bersertifikasi;rata_rata_nilai;prestasi_akademik;akreditasi;persentase_fasilitas_layak;kehadiran_siswa;persentase_lulusan_melanjutkan;status_sekolah
869;47;18.49;72.62;63.28;13;B;86.24;87.82;84.75;Unggul
898;37;24.27;70.78;61.78;10;C;70.47;82.07;61.36;Tidak Unggul
487;25;19.48;83.06;79.56;13;B;78.71;85.92;76.4;Unggul
202;17;11.88;75.48;86.85;21;A;93.04;99.0;98.0;Unggul
941;38;24.76;71.11;74.7;12;B;67.81;90.86;75.05;Tidak Unggul
366;24;15.25;80.39;76.79;16;A;66.34;88.72;71.36;Unggul
913;31;29.45;64.79;68.82;10;C;65.06;84.65;70.81;Tidak Unggul
337;8;42.12;56.72;72.46;8;C;55.85;82.46;60.16;Tidak Unggul
529;20;26.45;73.14;68.24;5;B;67.69;77.91;66.08;Tidak Unggul
642;48;13.38;90.92;94.73;21;A;87.54;93.67;98.0;Unggul
190;8;23.75;66.96;75.28;13;A;83.35;91.17;66.05;Tidak Unggul
306;16;19.12;89.09;83.07;15;B;88.61;88.58;85.68;Unggul
164;8;20.5;80.26;74.94;9;B;83.68;83.72;76.53;Tidak Unggul
962;43;22.37;75.31;73.58;9;C;79.73;83.28;68.92;Tidak Unggul
214;10;21.4;68.65;71.34;11;A;79.31;86.19;80.98;Tidak Unggul
988;44;22.45;69.15;75.58;12;B;64.43;84.14;74.65;Tidak Unggul
670;30;22.33;58.25;67.88;9;C;64.02;82.99;76.03;Tidak Unggul
493;31;15.9;86.19;92.87;18;A;81.04;87.3;78.48;Unggul
278;9;30.89;70.31;60.0;6;C;62.96;83.35;66.59;Tidak Unggul
797;38;20.97;75.96;78.09;11;B;76.47;86.23;60.22;Unggul
621;30;20.7;88.19;73.47;12;B;73.3;83.64;77.54;Tidak Unggul
212;9;23.56;55.0;68.74;12;B;76.62;84.29;66.05;Tidak Unggul
288;11;26.18;60.65;64.11;5;C;54.65;75.0;64.01;Tidak Unggul
648;37;17.51;90.23;91.32;18;A;67.65;89.32;84.01;Unggul
742;34;21.82;64.79;70.52;9;B;72.67;80.44;71.42;Tidak Unggul
541;26;20.81;58.35;62.9;10;B;66.24;91.32;65.35;Tidak Unggul
824;39;21.13;66.98;74.59;14;B;79.49;90.01;87.59;Unggul
568;41;13.85;89.54;89.58;20;A;97.83;95.5;90.57;Unggul
438;30;14.6;75.62;78.3;17;A;86.24;90.94;83.78;Unggul
528;28;18.86;91.64;85.49;17;A;72.23;91.69;74.55;Unggul
922;42;21.95;76.81;68.24;11;B;69.47;87.63;69.71;Unggul
639;50;12.78;87.44;86.83;19;A;100.0;97.91;86.86;Unggul
380;24;15.83;73.52;81.42;13;B;79.31;86.47;75.83;Unggul
190;8;23.75;80.51;72.97;10;A;82.62;84.92;71.94;Tidak Unggul
177;11;16.09;92.3;76.54;15;A;79.99;89.83;72.96;Unggul
284;11;25.82;52.66;65.65;7;C;66.45;79.93;58.54;Tidak Unggul
350;13;26.92;58.75;67.23;10;C;73.18;83.47;54.09;Tidak Unggul
989;39;25.36;63.63;77.25;9;B;55.18;87.88;71.69;Tidak Unggul
929;37;25.11;64.01;77.31;11;B;72.56;88.99;69.2;Tidak Unggul
182;9;20.22;53.99;75.28;10;B;71.16;84.35;62.97;Tidak Unggul
197;8;24.62;64.57;74.98;11;B;63.08;93.8;71.23;Tidak Unggul
652;33;19.76;64.22;72.79;12;B;61.8;87.16;76.04;Tidak Unggul
556;22;25.27;55.83;69.22;6;C;82.65;85.13;65.02;Tidak Unggul
723;56;12.91;92.07;80.29;20;A;92.79;97.77;91.77;Unggul
877;30;29.23;60.86;67.51;6;C;72.57;85.37;66.72;Tidak Unggul
954;47;20.3;76.96;71.66;11;B;79.39;89.75;70.58;Unggul
248;12;20.67;59.56;71.52;7;B;68.92;82.75;64.01;Tidak Unggul
833;49;17.0;85.37;82.5;17;B;74.36;89.99;78.1;Unggul
875;34;25.74;72.88;72.95;10;B;78.36;82.71;77.31;Tidak Unggul
696;50;13.92;83.22;92.75;20;A;90.48;96.5;91.47;Unggul
888;31;28.65;77.13;64.06;7;C;66.4;85.69;67.77;Tidak Unggul
762;26;29.31;57.19;60.56;4;C;58.59;81.75;50.05;Tidak Unggul
611;38;16.08;72.09;77.4;13;B;80.97;89.81;86.5;Unggul
792;28;28.29;60.55;70.42;5;C;62.94;81.67;63.84;Tidak Unggul
918;37;24.81;57.74;70.4;6;B;58.94;78.42;60.89;Tidak Unggul
154;8;19.25;70.33;75.31;12;B;78.81;85.38;75.76;Tidak Unggul
367;18;20.39;86.47;78.54;11;B;77.42;84.33;66.87;Tidak Unggul
652;37;17.62;64.58;78.38;15;A;82.42;94.62;72.88;Unggul
916;51;17.96;70.37;82.06;17;B;81.11;89.14;78.29;Unggul
547;29;18.86;76.53;82.16;13;B;91.2;90.63;80.79;Unggul
944;37;25.51;68.64;81.44;14;B;79.77;82.53;75.86;Unggul
542;35;15.49;78.03;81.73;16;A;75.18;88.11;89.01;Unggul
356;13;27.38;80.05;69.73;9;B;63.18;83.34;71.53;Tidak Unggul
164;13;12.62;82.52;88.28;22;A;88.18;96.76;90.18;Unggul
703;30;23.43;70.14;71.27;8;C;63.27;81.54;67.63;Tidak Unggul
610;27;22.59;59.39;73.27;8;B;53.99;87.2;71.69;Tidak Unggul
840;30;28.0;60.29;62.59;2;C;64.81;76.77;55.56;Tidak Unggul
724;39;18.56;80.78;71.33;13;B;68.54;89.05;80.28;Unggul
892;47;18.98;77.1;86.93;15;A;89.45;87.67;69.78;Unggul
390;19;20.53;73.58;90.1;15;B;67.2;93.69;77.31;Unggul
713;56;12.73;88.51;81.76;24;A;98.68;99.0;92.21;Unggul
245;16;15.31;79.06;80.22;15;B;83.32;90.06;79.64;Unggul
883;42;21.02;85.4;84.51;13;A;82.33;88.22;84.53;Unggul
634;30;21.13;72.19;75.33;10;B;69.39;83.17;76.7;Tidak Unggul
556;22;25.27;69.99;82.37;10;B;71.87;83.93;73.07;Tidak Unggul
380;19;20.0;80.24;67.29;15;B;71.44;84.35;70.59;Tidak Unggul
898;40;22.45;60.07;67.25;7;C;69.64;81.5;71.67;Tidak Unggul
804;39;20.62;68.26;75.78;12;B;71.54;90.4;73.69;Unggul
320;8;40.0;79.87;75.02;8;B;66.16;83.79;72.75;Tidak Unggul
690;25;27.6;58.92;71.79;4;C;62.79;82.11;62.72;Tidak Unggul
185;11;16.82;79.48;71.34;13;B;76.06;84.17;75.92;Tidak Unggul
674;22;30.64;59.05;62.03;10;C;60.0;82.75;71.65;Tidak Unggul
309;16;19.31;88.28;86.11;16;A;76.15;92.88;83.81;Unggul
988;52;19.0;60.17;74.08;10;B;70.0;84.1;71.87;Tidak Unggul
848;46;18.43;69.13;81.97;15;A;67.16;91.28;76.88;Unggul
392;23;17.04;82.93;82.65;16;B;76.42;87.51;76.64;Unggul
235;8;29.38;56.7;61.62;4;C;61.35;83.98;57.53;Tidak Unggul
945;36;26.25;62.72;68.53;6;B;64.75;83.04;66.78;Tidak Unggul
727;46;15.8;82.44;83.81;15;B;84.7;88.54;82.0;Unggul
831;37;22.46;68.29;69.73;10;B;73.57;86.98;71.09;Tidak Unggul
706;34;20.76;65.46;74.36;15;B;82.29;88.65;74.79;Unggul
723;50;14.46;76.83;83.63;18;A;84.91;94.47;85.87;Unggul
795;48;16.56;73.48;85.64;18;A;99.01;87.87;74.75;Unggul
945;53;17.83;88.98;74.52;19;B;82.05;87.93;74.51;Unggul
177;12;14.75;90.3;85.86;16;A;88.95;91.92;81.99;Unggul
769;47;16.36;67.99;79.96;11;B;74.92;86.51;82.59;Unggul
705;40;17.62;82.51;77.01;15;A;81.37;90.81;88.25;Unggul
489;29;16.86;79.55;94.63;16;B;76.45;92.48;76.68;Unggul
947;41;23.1;82.88;70.21;11;B;71.79;83.62;88.31;Unggul
480;21;22.86;89.89;78.42;11;B;65.67;87.05;67.85;Unggul
789;28;28.18;64.83;66.57;3;C;68.5;78.46;54.38;Tidak Unggul
655;31;21.13;69.98;75.21;14;B;77.19;83.09;64.09;Tidak Unggul
497;21;23.67;57.41;71.8;10;C;72.25;83.97;64.43;Tidak Unggul
622;24;25.92;72.61;77.19;10;B;58.03;84.82;70.3;Tidak Unggul
380;16;23.75;69.23;88.65;13;B;58.8;84.06;79.49;Tidak Unggul
339;18;18.83;61.32;69.05;12;B;71.86;87.51;78.47;Tidak Unggul
374;20;18.7;76.07;64.8;14;B;65.83;90.0;82.71;Tidak Unggul
534;26;20.54;94.3;74.87;14;A;56.73;87.86;88.77;Unggul
526;28;18.79;80.08;76.76;12;B;81.64;90.14;86.39;Unggul
432;19;22.74;61.05;77.6;11;B;74.25;83.07;81.49;Tidak Unggul
782;39;20.05;75.9;79.32;13;B;71.49;87.16;79.7;Unggul
777;59;13.17;89.74;86.64;21;A;90.46;98.8;87.45;Unggul
894;33;27.09;63.78;73.56;5;C;74.95;78.14;65.37;Tidak Unggul
408;20;20.4;61.06;73.37;14;A;68.36;87.81;72.08;Tidak Unggul
508;24;21.17;76.37;88.16;14;A;86.53;87.19;82.29;Unggul
859;32;26.84;72.02;77.05;12;B;67.57;90.02;70.15;Tidak Unggul
605;29;20.86;73.12;85.19;12;B;71.35;85.55;73.5;Unggul
560;17;32.94;51.62;66.93;8;B;58.05;89.26;59.74;Tidak Unggul
798;42;19.0;75.0;77.21;13;B;79.17;92.16;80.33;Unggul
467;32;14.59;87.18;75.42;17;A;89.58;92.58;78.41;Unggul
826;34;24.29;63.87;74.26;12;B;72.09;87.51;72.71;Tidak Unggul
374;13;28.77;52.99;65.0;2;C;55.16;84.77;56.21;Tidak Unggul
968;39;24.82;77.05;80.73;8;C;61.61;81.99;66.62;Tidak Unggul
383;18;21.28;70.0;75.68;11;B;86.86;87.03;72.28;Tidak Unggul
833;32;26.03;70.51;66.11;11;B;66.4;85.5;63.83;Tidak Unggul
813;33;24.64;55.58;79.12;9;B;67.3;83.64;68.34;Tidak Unggul
976;37;26.38;57.67;66.31;10;C;54.54;82.49;62.74;Tidak Unggul
523;19;27.53;78.87;60.73;5;C;75.91;82.13;57.5;Tidak Unggul
821;38;21.61;81.05;75.75;9;B;55.35;91.36;64.34;Unggul
757;26;29.12;63.04;61.57;4;C;67.23;76.99;54.73;Tidak Unggul
621;36;17.25;61.74;79.03;16;B;86.97;90.82;78.21;Unggul
382;13;29.38;47.57;71.59;6;B;54.65;78.55;54.84;Tidak Unggul
841;34;24.74;55.43;73.6;10;B;69.08;85.51;69.95;Tidak Unggul
262;15;17.47;65.15;81.89;13;A;81.67;90.62;78.88;Unggul
979;42;23.31;69.38;69.09;12;B;92.11;83.02;69.2;Unggul
646;27;23.93;79.29;79.96;11;B;88.67;87.8;72.53;Unggul
591;29;20.38;70.77;77.27;15;B;83.52;82.48;68.36;Unggul
713;24;29.71;56.7;63.13;3;C;61.57;83.55;60.32;Tidak Unggul
417;30;13.9;79.32;85.46;16;B;89.41;86.61;82.78;Unggul
659;44;14.98;83.92;79.4;14;A;80.44;86.42;73.9;Unggul
956;53;18.04;79.79;68.8;10;B;77.01;88.39;84.66;Unggul
535;27;19.81;71.37;78.82;12;B;66.16;83.79;70.05;Tidak Unggul
536;25;21.44;77.58;77.12;8;C;67.86;85.47;70.65;Tidak Unggul
262;12;21.83;64.33;68.98;9;B;74.69;89.8;66.76;Tidak Unggul
762;38;20.05;84.18;77.21;9;C;71.95;89.04;65.79;Tidak Unggul
774;40;19.35;65.24;78.64;10;B;75.31;84.31;72.3;Unggul
230;20;11.5;69.85;77.13;19;A;84.09;93.05;85.66;Unggul
848;47;18.04;72.61;81.59;16;A;84.71;88.68;88.56;Unggul
262;9;29.11;54.96;60.0;10;B;56.81;86.69;65.16;Tidak Unggul
151;11;13.73;71.35;82.99;14;B;85.52;90.96;77.88;Unggul
791;50;15.82;87.95;83.37;15;B;66.93;87.82;86.1;Unggul
369;22;16.77;79.32;81.05;16;A;89.15;93.33;85.99;Unggul
715;54;13.24;68.22;80.49;15;B;70.18;85.7;81.98;Unggul
885;49;18.06;69.29;80.91;14;A;75.57;92.43;84.36;Unggul
374;19;19.68;75.05;68.2;14;A;69.4;92.41;81.82;Tidak Unggul
534;21;25.43;83.68;81.69;10;B;79.78;88.64;85.32;Tidak Unggul
552;21;26.29;71.36;74.95;10;B;61.15;86.35;68.57;Tidak Unggul
787;32;24.59;77.11;72.93;9;C;69.32;88.66;70.18;Tidak Unggul
279;9;31.0;66.27;67.76;9;B;60.41;80.83;60.28;Tidak Unggul
202;8;25.25;50.73;71.89;9;C;61.58;75.61;62.18;Tidak Unggul
833;41;20.32;73.59;65.09;9;B;75.94;89.26;71.72;Tidak Unggul
879;26;33.81;50.98;61.69;5;B;59.5;83.29;63.01;Tidak Unggul
821;54;15.2;73.57;80.59;13;A;77.63;90.29;84.43;Unggul
859;32;26.84;53.54;71.03;6;C;52.39;80.54;57.83;Tidak Unggul
565;39;14.49;78.51;69.42;17;A;73.8;93.01;83.33;Unggul
396;22;18.0;79.19;87.93;15;B;72.21;93.95;78.86;Unggul
985;71;13.87;73.67;75.83;15;A;75.74;88.68;74.6;Unggul
588;24;24.5;62.78;68.55;8;C;77.72;87.08;70.29;Tidak Unggul
352;14;25.14;67.82;70.71;6;C;68.03;85.83;65.08;Tidak Unggul
333;15;22.2;68.72;69.21;10;B;72.75;84.44;68.86;Tidak Unggul
272;15;18.13;71.29;69.94;12;B;61.74;94.03;66.51;Tidak Unggul
550;27;20.37;95.02;82.3;16;B;90.06;88.07;86.06;Unggul
916;63;14.54;90.97;93.6;16;A;97.84;86.38;76.4;Unggul
443;22;20.14;70.01;72.47;15;B;68.93;83.82;67.85;Tidak Unggul
429;14;30.64;55.96;60.0;2;C;47.31;81.65;58.01;Tidak Unggul
986;55;17.93;76.92;73.24;14;B;90.06;92.88;77.43;Unggul
759;31;24.48;72.32;74.22;12;B;76.21;83.71;74.99;Tidak Unggul
347;12;28.92;57.64;60.0;3;C;71.8;77.68;56.59;Tidak Unggul
660;34;19.41;73.63;71.54;14;A;83.9;85.49;78.85;Unggul
901;41;21.98;63.23;71.24;9;B;50.74;85.84;72.14;Tidak Unggul
293;21;13.95;83.45;81.47;19;A;100.0;91.63;97.78;Unggul
758;52;14.58;73.22;87.17;13;B;79.2;91.93;77.02;Unggul
350;24;14.58;72.61;81.32;18;A;89.39;94.78;83.58;Unggul
273;12;22.75;73.28;77.83;11;B;69.07;82.92;68.69;Tidak Unggul
336;17;19.76;79.19;88.13;12;B;76.45;87.14;72.89;Unggul
475;22;21.59;89.95;83.08;11;B;63.31;87.01;72.58;Tidak Unggul
613;31;19.77;60.28;79.24;10;B;82.2;85.01;80.59;Unggul
498;29;17.17;74.02;83.78;15;B;74.73;87.4;83.4;Unggul
920;36;25.56;73.22;70.18;7;C;62.15;88.87;63.23;Tidak Unggul
809;31;26.1;62.69;71.75;4;B;64.86;82.22;59.73;Tidak Unggul
913;67;13.63;100.0;86.35;18;A;100.0;97.23;87.32;Unggul
552;37;14.92;87.38;82.79;15;B;76.67;89.05;78.24;Unggul
495;26;19.04;57.73;85.27;14;B;80.66;90.28;76.9;Unggul
660;33;20.0;73.7;77.86;12;B;84.28;85.63;78.47;Tidak Unggul
296;12;24.67;65.62;67.47;9;C;68.77;85.78;64.19;Tidak Unggul
297;18;16.5;80.76;85.2;17;A;86.92;91.61;78.73;Unggul
860;43;20.0;71.36;76.02;16;B;53.38;86.21;83.76;Unggul
969;65;14.91;91.4;78.4;18;A;78.57;82.29;83.3;Unggul
638;37;17.24;77.78;84.34;16;A;81.32;87.22;81.91;Unggul
789;30;26.3;45.0;68.22;7;C;63.71;81.02;53.25;Tidak Unggul
700;32;21.88;72.17;82.45;17;A;84.82;88.82;77.25;Unggul
487;18;27.06;78.18;68.05;9;C;52.39;77.9;58.56;Tidak Unggul
790;33;23.94;56.26;72.71;8;C;57.89;76.8;51.91;Tidak Unggul
928;41;22.63;83.0;83.6;11;B;82.6;94.04;74.39;Unggul
622;23;27.04;66.34;63.59;3;C;66.97;79.55;57.55;Tidak Unggul
300;17;17.65;72.38;75.52;15;B;67.82;87.02;82.35;Tidak Unggul
564;25;22.56;70.27;75.15;10;B;72.09;85.66;67.08;Tidak Unggul
447;19;23.53;73.03;63.98;13;B;73.23;84.35;71.1;Tidak Unggul
760;36;21.11;73.64;83.83;14;B;74.67;93.03;76.41;Unggul
412;20;20.6;70.37;74.27;14;B;67.9;87.22;78.74;Unggul
913;55;16.6;90.03;89.31;16;B;73.52;88.0;86.45;Unggul
293;11;26.64;64.82;74.92;8;B;60.6;81.98;67.16;Tidak Unggul
495;19;26.05;58.09;73.99;8;B;77.47;80.74;62.16;Tidak Unggul
773;31;24.94;68.83;74.25;10;B;69.21;79.48;64.33;Tidak Unggul
721;30;24.03;77.12;74.67;13;B;77.58;88.94;78.58;Unggul
151;8;18.88;58.87;73.35;12;B;63.21;87.88;77.97;Tidak Unggul
453;21;21.57;64.65;65.39;12;B;81.67;81.67;76.99;Tidak Unggul
403;19;21.21;63.5;87.14;16;B;90.53;88.54;78.42;Unggul
801;54;14.83;100.0;78.76;17;A;88.45;93.32;88.8;Unggul
602;29;20.76;64.17;71.59;9;B;69.17;82.68;72.13;Tidak Unggul
186;11;16.91;67.06;82.1;11;B;75.06;89.39;73.62;Unggul
309;9;34.33;57.33;74.73;7;C;67.79;85.93;65.27;Tidak Unggul
158;11;14.36;75.71;82.14;18;A;72.35;93.17;87.87;Unggul
382;19;20.11;71.61;67.93;11;B;66.11;87.3;77.28;Tidak Unggul
248;17;14.59;89.08;82.51;13;B;74.87;88.15;85.32;Unggul
808;36;22.44;77.19;80.79;14;A;74.48;84.61;88.58;Unggul
965;41;23.54;55.0;73.0;8;C;69.49;81.31;62.93;Tidak Unggul
357;18;19.83;64.85;75.7;12;B;83.81;90.01;82.24;Unggul
280;15;18.67;76.05;77.03;12;B;83.78;85.16;77.3;Tidak Unggul
553;24;23.04;58.9;66.98;7;B;53.89;87.13;66.19;Tidak Unggul
301;19;15.84;74.66;79.75;14;A;93.14;87.73;75.24;Unggul
203;12;16.92;100.0;88.75;17;A;100.0;89.21;87.25;Unggul
269;11;24.45;63.93;76.9;12;B;86.57;87.39;70.83;Tidak Unggul
822;29;28.34;46.8;64.48;8;C;53.14;77.11;57.85;Tidak Unggul
777;53;14.66;80.19;92.51;21;A;84.84;96.59;81.52;Unggul
736;29;25.38;48.32;69.45;6;B;50.77;79.52;63.9;Tidak Unggul
774;25;30.96;72.96;68.3;5;B;65.62;75.85;58.82;Tidak Unggul
569;26;21.88;56.84;71.28;12;B;69.24;82.14;66.23;Tidak Unggul
571;20;28.55;58.63;65.09;10;B;64.49;79.12;67.45;Tidak Unggul
253;10;25.3;50.22;61.26;8;B;54.09;83.36;56.78;Tidak Unggul
403;13;31.0;48.26;66.82;4;C;64.16;84.62;57.69;Tidak Unggul
376;12;31.33;64.11;65.95;9;C;64.02;81.17;63.14;Tidak Unggul
261;14;18.64;65.15;74.7;11;B;75.66;90.99;69.19;Tidak Unggul
659;39;16.9;62.73;84.01;15;B;91.56;86.87;79.68;Unggul
622;36;17.28;69.2;79.27;15;B;79.01;85.89;72.95;Unggul
248;17;14.59;86.78;87.05;17;A;88.27;89.59;90.95;Unggul
302;16;18.88;69.63;80.75;11;B;76.3;82.3;75.13;Tidak Unggul
487;19;25.63;71.44;76.47;10;B;59.34;85.11;69.28;Tidak Unggul
855;35;24.43;86.51;81.31;11;B;74.05;91.71;73.97;Unggul
971;44;22.07;75.12;77.73;9;B;72.26;83.64;62.0;Unggul
312;11;28.36;58.23;60.0;5;C;64.01;78.78;56.07;Tidak Unggul
